subject_id,phase,lag_s,correlation
S04,Pre,1.000000,0.646800
S04,Pre,1.500000,0.597565
S04,Pre,2.000000,0.457357
S04,Pre,2.500000,0.247520
S04,Pre,3.000000,0.000000
S04,Pre,3.500000,-0.247520
S04,Pre,4.000000,-0.457357
S04,Pre,4.500000,-0.597565
S04,Pre,5.000000,-0.646800
S04,Pre,5.500000,-0.597565
S04,Pre,6.000000,-0.457357
S04,Pre,6.500000,-0.247520
S04,Pre,7.000000,-0.000000
S04,Pre,7.500000,0.247520
S04,Pre,8.000000,0.457357
S04,Pre,8.500000,0.597565
S04,Pre,9.000000,0.646800
S04,Pre,9.500000,0.597565
S04,Pre,10.000000,0.457357
S05,Pre,-10.000000,-0.457357
S05,Pre,-9.500000,-0.247520
S05,Pre,-9.000000,0.000000
S05,Pre,-8.500000,0.247520
S05,Pre,-8.000000,0.457357
S05,Pre,-7.500000,0.597565
S05,Pre,-7.000000,0.646800
S05,Pre,-6.500000,0.597565
S05,Pre,-6.000000,0.457357
S05,Pre,-5.500000,0.247520
S05,Pre,-5.000000,-0.000000
S05,Pre,-4.500000,-0.247520
S05,Pre,-4.000000,-0.457357
S05,Pre,-3.500000,-0.597565
S05,Pre,-3.000000,-0.646800
S05,Pre,-2.500000,-0.597565
S05,Pre,-2.000000,-0.457357
S05,Pre,-1.500000,-0.247520
S05,Pre,-1.000000,0.000000
S05,Pre,-0.500000,0.247520
S05,Pre,0.000000,0.457357
S05,Pre,0.500000,0.597565
S05,Pre,1.000000,0.646800
S05,Pre,1.500000,0.597565
S05,Pre,2.000000,0.457357
S05,Pre,2.500000,0.247520
S05,Pre,3.000000,0.000000
S05,Pre,3.500000,-0.247520
S05,Pre,4.000000,-0.457357
S05,Pre,4.500000,-0.597565
S05,Pre,5.000000,-0.646800
S05,Pre,5.500000,-0.597565
S05,Pre,6.000000,-0.457357
S05,Pre,6.500000,-0.247520
S05,Pre,7.000000,-0.000000
S05,Pre,7.500000,0.247520
S05,Pre,8.000000,0.457357
S05,Pre,8.500000,0.597565
S05,Pre,9.000000,0.646800
S05,Pre,9.500000,0.597565
S05,Pre,10.000000,0.457357
S06,Pre,-10.000000,-0.457357
S06,Pre,-9.500000,-0.247520
S06,Pre,-9.000000,0.000000
S06,Pre,-8.500000,0.247520
S06,Pre,-8.000000,0.457357
S06,Pre,-7.500000,0.597565
S06,Pre,-7.000000,0.646800
S06,Pre,-6.500000,0.597565
S06,Pre,-6.000000,0.457357
S06,Pre,-5.500000,0.247520
S06,Pre,-5.000000,-0.000000
S06,Pre,-4.500000,-0.247520
S06,Pre,-4.000000,-0.457357
S06,Pre,-3.500000,-0.597565
S06,Pre,-3.000000,-0.646800
S06,Pre,-2.500000,-0.597565
S06,Pre,-2.000000,-0.457357
S06,Pre,-1.500000,-0.247520
S06,Pre,-1.000000,0.000000
S06,Pre,-0.500000,0.247520
S06,Pre,0.000000,0.457357
S06,Pre,0.500000,0.597565
S06,Pre,1.000000,0.646800
S06,Pre,1.500000,0.597565
S06,Pre,2.000000,0.457357
S06,Pre,2.500000,0.247520
S06,Pre,3.000000,0.000000
S06,Pre,3.500000,-0.247520
S06,Pre,4.000000,-0.457357
S06,Pre,4.500000,-0.597565
S06,Pre,5.000000,-0.646800
S06,Pre,5.500000,-0.597565
S06,Pre,6.000000,-0.457357
S06,Pre,6.500000,-0.247520
S06,Pre,7.000000,-0.000000
S06,Pre,7.500000,0.247520
S06,Pre,8.000000,0.457357
S06,Pre,8.500000,0.597565
S06,Pre,9.000000,0.646800
S06,Pre,9.500000,0.597565
S06,Pre,10.000000,0.457357
S07,Pre,-10.000000,-0.457357
S07,Pre,-9.500000,-0.247520
S07,Pre,-9.000000,0.000000
S07,Pre,-8.500000,0.247520
S07,Pre,-8.000000,0.457357
S07,Pre,-7.500000,0.597565
S07,Pre,-7.000000,0.646800
S07,Pre,-6.500000,0.597565
S07,Pre,-6.000000,0.457357
S07,Pre,-5.500000,0.247520
S07,Pre,-5.000000,-0.000000
S07,Pre,-4.500000,-0.247520
S07,Pre,-4.000000,-0.457357
S07,Pre,-3.500000,-0.597565
S07,Pre,-3.000000,-0.646800
S07,Pre,-2.500000,-0.597565
S07,Pre,-2.000000,-0.457357
S07,Pre,-1.500000,-0.247520
S07,Pre,-1.000000,0.000000
S07,Pre,-0.500000,0.247520
S07,Pre,0.000000,0.457357
S07,Pre,0.500000,0.597565
S07,Pre,1.000000,0.646800
S07,Pre,1.500000,0.597565
S07,Pre,2.000000,0.457357
S07,Pre,2.500000,0.247520
S07,Pre,3.000000,0.000000
S07,Pre,3.500000,-0.247520
S07,Pre,4.000000,-0.457357
S07,Pre,4.500000,-0.597565
S07,Pre,5.000000,-0.646800
S07,Pre,5.500000,-0.597565
S07,Pre,6.000000,-0.457357
S07,Pre,6.500000,-0.247520
S07,Pre,7.000000,-0.000000
S07,Pre,7.500000,0.247520
S07,Pre,8.000000,0.457357
S07,Pre,8.500000,0.597565
S07,Pre,9.000000,0.646800
S07,Pre,9.500000,0.597565
S07,Pre,10.000000,0.457357
S08,Pre,-10.000000,-0.457357
S08,Pre,-9.500000,-0.247520
S08,Pre,-9.000000,0.000000
S08,Pre,-8.500000,0.247520
S08,Pre,-8.000000,0.457357
S08,Pre,-7.500000,0.597565
S08,Pre,-7.000000,0.646800
S08,Pre,-6.500000,0.597565
S08,Pre,-6.000000,0.457357
S08,Pre,-5.500000,0.247520
S08,Pre,-5.000000,-0.000000
S08,Pre,-4.500000,-0.247520
S08,Pre,-4.000000,-0.457357
S08,Pre,-3.500000,-0.597565
S08,Pre,-3.000000,-0.646800
S08,Pre,-2.500000,-0.597565
S08,Pre,-2.000000,-0.457357
S08,Pre,-1.500000,-0.247520
S08,Pre,-1.000000,0.000000
S08,Pre,-0.500000,0.247520
S08,Pre,0.000000,0.457357
S08,Pre,0.500000,0.597565
S08,Pre,1.000000,0.646800
S08,Pre,1.500000,0.597565
S08,Pre,2.000000,0.457357
S08,Pre,2.500000,0.247520
S08,Pre,3.000000,0.000000
S08,Pre,3.500000,-0.247520
S08,Pre,4.000000,-0.457357
S08,Pre,4.500000,-0.597565
S08,Pre,5.000000,-0.646800
S08,Pre,5.500000,-0.597565
S08,Pre,6.000000,-0.457357
S08,Pre,6.500000,-0.247520
S08,Pre,7.000000,-0.000000
S08,Pre,7.500000,0.247520
S08,Pre,8.000000,0.457357
S08,Pre,8.500000,0.597565
S08,Pre,9.000000,0.646800
S08,Pre,9.500000,0.597565
S08,Pre,10.000000,0.457357
S09,Pre,-10.000000,-0.457357
S09,Pre,-9.500000,-0.247520
S09,Pre,-9.000000,0.000000
S09,Pre,-8.500000,0.247520
S09,Pre,-8.000000,0.457357
S09,Pre,-7.500000,0.597565
S09,Pre,-7.000000,0.646800
S09,Pre,-6.500000,0.597565
S09,Pre,-6.000000,0.457357
S09,Pre,-5.500000,0.247520
S09,Pre,-5.000000,-0.000000
S09,Pre,-4.500000,-0.247520
S09,Pre,-4.000000,-0.457357
S09,Pre,-3.500000,-0.597565
S09,Pre,-3.000000,-0.646800
S09,Pre,-2.500000,-0.597565
S09,Pre,-2.000000,-0.457357
S09,Pre,-1.500000,-0.247520
S09,Pre,-1.000000,0.000000
S09,Pre,-0.500000,0.247520
S09,Pre,0.000000,0.457357
S09,Pre,0.500000,0.597565
S09,Pre,1.000000,0.646800
S09,Pre,1.500000,0.597565
S09,Pre,2.000000,0.457357
S09,Pre,2.500000,0.247520
S09,Pre,3.000000,0.000000
S09,Pre,3.500000,-0.247520
S09,Pre,4.000000,-0.457357
S09,Pre,4.500000,-0.597565
S09,Pre,5.000000,-0.646800
S09,Pre,5.500000,-0.597565
S09,Pre,6.000000,-0.457357
S09,Pre,6.500000,-0.247520
S09,Pre,7.000000,-0.000000
S09,Pre,7.500000,0.247520
S09,Pre,8.000000,0.457357
S09,Pre,8.500000,0.597565
S09,Pre,9.000000,0.646800
S09,Pre,9.500000,0.597565
S09,Pre,10.000000,0.457357
S10,Pre,-10.000000,-0.457357
S10,Pre,-9.500000,-0.247520
S10,Pre,-9.000000,0.000000
S10,Pre,-8.500000,0.247520
S10,Pre,-8.000000,0.457357
S10,Pre,-7.500000,0.597565
S10,Pre,-7.000000,0.646800
S10,Pre,-6.500000,0.597565
S10,Pre,-6.000000,0.457357
S10,Pre,-5.500000,0.247520
S10,Pre,-5.000000,-0.000000
S10,Pre,-4.500000,-0.247520
S10,Pre,-4.000000,-0.457357
S10,Pre,-3.500000,-0.597565
S10,Pre,-3.000000,-0.646800
S10,Pre,-2.500000,-0.597565
S10,Pre,-2.000000,-0.457357
S10,Pre,-1.500000,-0.247520
S10,Pre,-1.000000,0.000000
S10,Pre,-0.500000,0.247520
S10,Pre,0.000000,0.457357
S10,Pre,0.500000,0.597565
S10,Pre,1.000000,0.646800
S10,Pre,1.500000,0.597565
S10,Pre,2.000000,0.457357
S10,Pre,2.500000,0.247520
S10,Pre,3.000000,0.000000
S10,Pre,3.500000,-0.247520
S10,Pre,4.000000,-0.457357
S10,Pre,4.500000,-0.597565
S10,Pre,5.000000,-0.646800
S10,Pre,5.500000,-0.597565
S10,Pre,6.000000,-0.457357
S10,Pre,6.500000,-0.247520
S10,Pre,7.000000,-0.000000
S10,Pre,7.500000,0.247520
S10,Pre,8.000000,0.457357
S10,Pre,8.500000,0.597565
S10,Pre,9.000000,0.646800
S10,Pre,9.500000,0.597565
S10,Pre,10.000000,0.457357
S11,Pre,-10.000000,-0.457357
S11,Pre,-9.500000,-0.247520
S11,Pre,-9.000000,0.000000
S11,Pre,-8.500000,0.247520
S11,Pre,-8.000000,0.457357
S11,Pre,-7.500000,0.597565
S11,Pre,-7.000000,0.646800
S11,Pre,-6.500000,0.597565
S11,Pre,-6.000000,0.457357
S11,Pre,-5.500000,0.247520
S11,Pre,-5.000000,-0.000000
S11,Pre,-4.500000,-0.247520
S11,Pre,-4.000000,-0.457357
S11,Pre,-3.500000,-0.597565
S11,Pre,-3.000000,-0.646800
S11,Pre,-2.500000,-0.597565
S11,Pre,-2.000000,-0.457357
S11,Pre,-1.500000,-0.247520
S11,Pre,-1.000000,0.000000
S11,Pre,-0.500000,0.247520
S11,Pre,0.000000,0.457357
S11,Pre,0.500000,0.597565
S11,Pre,1.000000,0.646800
S11,Pre,1.500000,0.597565
S11,Pre,2.000000,0.457357
S11,Pre,2.500000,0.247520
S11,Pre,3.000000,0.000000
S11,Pre,3.500000,-0.247520
S11,Pre,4.000000,-0.457357
S11,Pre,4.500000,-0.597565
S11,Pre,5.000000,-0.646800
S11,Pre,5.500000,-0.597565
S11,Pre,6.000000,-0.457357
S11,Pre,6.500000,-0.247520
S11,Pre,7.000000,-0.000000
S11,Pre,7.500000,0.247520
S11,Pre,8.000000,0.457357
S11,Pre,8.500000,0.597565
S11,Pre,9.000000,0.646800
S11,Pre,9.500000,0.597565
S11,Pre,10.000000,0.457357
S12,Pre,-10.000000,-0.457357
S12,Pre,-9.500000,-0.247520
S12,Pre,-9.000000,0.000000
S12,Pre,-8.500000,0.247520
S12,Pre,-8.000000,0.457357
S12,Pre,-7.500000,0.597565
S12,Pre,-7.000000,0.646800
S12,Pre,-6.500000,0.597565
S12,Pre,-6.000000,0.457357
S12,Pre,-5.500000,0.247520
S12,Pre,-5.000000,-0.000000
S12,Pre,-4.500000,-0.247520
S12,Pre,-4.000000,-0.457357
S12,Pre,-3.500000,-0.597565
S12,Pre,-3.000000,-0.646800
S12,Pre,-2.500000,-0.597565
S12,Pre,-2.000000,-0.457357
S12,Pre,-1.500000,-0.247520
S12,Pre,-1.000000,0.000000
S12,Pre,-0.500000,0.247520
S12,Pre,0.000000,0.457357
S12,Pre,0.500000,0.597565
S12,Pre,1.000000,0.646800
S12,Pre,1.500000,0.597565
S12,Pre,2.000000,0.457357
S12,Pre,2.500000,0.247520
S12,Pre,3.000000,0.000000
S12,Pre,3.500000,-0.247520
S12,Pre,4.000000,-0.457357
S12,Pre,4.500000,-0.597565
S12,Pre,5.000000,-0.646800
S12,Pre,5.500000,-0.597565
S12,Pre,6.000000,-0.457357
S12,Pre,6.500000,-0.247520
S12,Pre,7.000000,-0.000000
S12,Pre,7.500000,0.247520
S12,Pre,8.000000,0.457357
S12,Pre,8.500000,0.597565
S12,Pre,9.000000,0.646800
S12,Pre,9.500000,0.597565
S12,Pre,10.000000,0.457357
S13,Pre,-10.000000,-0.457357
S13,Pre,-9.500000,-0.247520
S13,Pre,-9.000000,0.000000
S13,Pre,-8.500000,0.247520
S13,Pre,-8.000000,0.457357
S13,Pre,-7.500000,0.597565
S13,Pre,-7.000000,0.646800
S13,Pre,-6.500000,0.597565
S13,Pre,-6.000000,0.457357
S13,Pre,-5.500000,0.247520
S13,Pre,-5.000000,-0.000000
S13,Pre,-4.500000,-0.247520
S13,Pre,-4.000000,-0.457357
S13,Pre,-3.500000,-0.597565
S13,Pre,-3.000000,-0.646800
S13,Pre,-2.500000,-0.597565
S13,Pre,-2.000000,-0.457357
S13,Pre,-1.500000,-0.247520
S13,Pre,-1.000000,0.000000
S13,Pre,-0.500000,0.247520
S13,Pre,0.000000,0.457357
S13,Pre,0.500000,0.597565
S13,Pre,1.000000,0.646800
S13,Pre,1.500000,0.597565
S13,Pre,2.000000,0.457357
S13,Pre,2.500000,0.247520
S13,Pre,3.000000,0.000000
S13,Pre,3.500000,-0.247520
S13,Pre,4.000000,-0.457357
S13,Pre,4.500000,-0.597565
S13,Pre,5.000000,-0.646800
S13,Pre,5.500000,-0.597565
S13,Pre,6.000000,-0.457357
S13,Pre,6.500000,-0.247520
S13,Pre,7.000000,-0.000000
S13,Pre,7.500000,0.247520
S13,Pre,8.000000,0.457357
S13,Pre,8.500000,0.597565
S13,Pre,9.000000,0.646800
S13,Pre,9.500000,0.597565
S13,Pre,10.000000,0.457357
S14,Pre,-10.000000,-0.457357
S14,Pre,-9.500000,-0.247520
S14,Pre,-9.000000,0.000000
S14,Pre,-8.500000,0.247520
S14,Pre,-8.000000,0.457357
S14,Pre,-7.500000,0.597565
S14,Pre,-7.000000,0.646800
S14,Pre,-6.500000,0.597565
S14,Pre,-6.000000,0.457357
S14,Pre,-5.500000,0.247520
S14,Pre,-5.000000,-0.000000
S14,Pre,-4.500000,-0.247520
S14,Pre,-4.000000,-0.457357
S14,Pre,-3.500000,-0.597565
S14,Pre,-3.000000,-0.646800
S14,Pre,-2.500000,-0.597565
S14,Pre,-2.000000,-0.457357
S14,Pre,-1.500000,-0.247520
S14,Pre,-1.000000,0.000000
S14,Pre,-0.500000,0.247520
S14,Pre,0.000000,0.457357
S14,Pre,0.500000,0.597565
S14,Pre,1.000000,0.646800
S14,Pre,1.500000,0.597565
S14,Pre,2.000000,0.457357
S14,Pre,2.500000,0.247520
S14,Pre,3.000000,0.000000
S14,Pre,3.500000,-0.247520
S14,Pre,4.000000,-0.457357
S14,Pre,4.500000,-0.597565
S14,Pre,5.000000,-0.646800
S14,Pre,5.500000,-0.597565
S14,Pre,6.000000,-0.457357
S14,Pre,6.500000,-0.247520
S14,Pre,7.000000,-0.000000
S14,Pre,7.500000,0.247520
S14,Pre,8.000000,0.457357
S14,Pre,8.500000,0.597565
S14,Pre,9.000000,0.646800
S14,Pre,9.500000,0.597565
S14,Pre,10.000000,0.457357
S15,Pre,-10.000000,-0.457357
S15,Pre,-9.500000,-0.247520
S15,Pre,-9.000000,0.000000
S15,Pre,-8.500000,0.247520
S15,Pre,-8.000000,0.457357
S15,Pre,-7.500000,0.597565
S15,Pre,-7.000000,0.646800
S15,Pre,-6.500000,0.597565
S15,Pre,-6.000000,0.457357
S15,Pre,-5.500000,0.247520
S15,Pre,-5.000000,-0.000000
S15,Pre,-4.500000,-0.247520
S15,Pre,-4.000000,-0.457357
S15,Pre,-3.500000,-0.597565
S15,Pre,-3.000000,-0.646800
S15,Pre,-2.500000,-0.597565
S15,Pre,-2.000000,-0.457357
S15,Pre,-1.500000,-0.247520
S15,Pre,-1.000000,0.000000
S15,Pre,-0.500000,0.247520
S15,Pre,0.000000,0.457357
S15,Pre,0.500000,0.597565
S15,Pre,1.000000,0.646800
S15,Pre,1.500000,0.597565
S15,Pre,2.000000,0.457357
S15,Pre,2.500000,0.247520
S15,Pre,3.000000,0.000000
S15,Pre,3.500000,-0.247520
S15,Pre,4.000000,-0.457357
S15,Pre,4.500000,-0.597565
S15,Pre,5.000000,-0.646800
S15,Pre,5.500000,-0.597565
S15,Pre,6.000000,-0.457357
S15,Pre,6.500000,-0.247520
S15,Pre,7.000000,-0.000000
S15,Pre,7.500000,0.247520
S15,Pre,8.000000,0.457357
S15,Pre,8.500000,0.597565
S15,Pre,9.000000,0.646800
S15,Pre,9.500000,0.597565
S15,Pre,10.000000,0.457357
S16,Pre,-10.000000,-0.457357
S16,Pre,-9.500000,-0.247520
S16,Pre,-9.000000,0.000000
S16,Pre,-8.500000,0.247520
S16,Pre,-8.000000,0.457357
S16,Pre,-7.500000,0.597565
S16,Pre,-7.000000,0.646800
S16,Pre,-6.500000,0.597565
S16,Pre,-6.000000,0.457357
S16,Pre,-5.500000,0.247520
S16,Pre,-5.000000,-0.000000
S16,Pre,-4.500000,-0.247520
S16,Pre,-4.000000,-0.457357
S16,Pre,-3.500000,-0.597565
S16,Pre,-3.000000,-0.646800
S16,Pre,-2.500000,-0.597565
S16,Pre,-2.000000,-0.457357
S16,Pre,-1.500000,-0.247520
S16,Pre,-1.000000,0.000000
S16,Pre,-0.500000,0.247520
S16,Pre,0.000000,0.457357
S16,Pre,0.500000,0.597565
S16,Pre,1.000000,0.646800
S16,Pre,1.500000,0.597565
S16,Pre,2.000000,0.457357
S16,Pre,2.500000,0.247520
S16,Pre,3.000000,0.000000
S16,Pre,3.500000,-0.247520
S16,Pre,4.000000,-0.457357
S16,Pre,4.500000,-0.597565
S16,Pre,5.000000,-0.646800
S16,Pre,5.500000,-0.597565
S16,Pre,6.000000,-0.457357
S16,Pre,6.500000,-0.247520
S16,Pre,7.000000,-0.000000
S16,Pre,7.500000,0.247520
S16,Pre,8.000000,0.457357
S16,Pre,8.500000,0.597565
S16,Pre,9.000000,0.646800
S16,Pre,9.500000,0.597565
S16,Pre,10.000000,0.457357
S17,Pre,-10.000000,-0.457357
S17,Pre,-9.500000,-0.247520
S17,Pre,-9.000000,0.000000
S17,Pre,-8.500000,0.247520
S17,Pre,-8.000000,0.457357
S17,Pre,-7.500000,0.597565
S17,Pre,-7.000000,0.646800
S17,Pre,-6.500000,0.597565
S17,Pre,-6.000000,0.457357
S17,Pre,-5.500000,0.247520
S17,Pre,-5.000000,-0.000000
S17,Pre,-4.500000,-0.247520
S17,Pre,-4.000000,-0.457357
S17,Pre,-3.500000,-0.597565
S17,Pre,-3.000000,-0.646800
S17,Pre,-2.500000,-0.597565
S17,Pre,-2.000000,-0.457357
S17,Pre,-1.500000,-0.247520
S17,Pre,-1.000000,0.000000
S17,Pre,-0.500000,0.247520
S17,Pre,0.000000,0.457357
S17,Pre,0.500000,0.597565
S17,Pre,1.000000,0.646800
S17,Pre,1.500000,0.597565
S17,Pre,2.000000,0.457357
S17,Pre,2.500000,0.247520
S17,Pre,3.000000,0.000000
S17,Pre,3.500000,-0.247520
S17,Pre,4.000000,-0.457357
S17,Pre,4.500000,-0.597565
S17,Pre,5.000000,-0.646800
S17,Pre,5.500000,-0.597565
S17,Pre,6.000000,-0.457357
S17,Pre,6.500000,-0.247520
S17,Pre,7.000000,-0.000000
S17,Pre,7.500000,0.247520
S17,Pre,8.000000,0.457357
S17,Pre,8.500000,0.597565
S17,Pre,9.000000,0.646800
S17,Pre,9.500000,0.597565
S17,Pre,10.000000,0.457357
S18,Pre,-10.000000,-0.457357
S18,Pre,-9.500000,-0.247520
S18,Pre,-9.000000,0.000000
S18,Pre,-8.500000,0.247520
S18,Pre,-8.000000,0.457357
S18,Pre,-7.500000,0.597565
S18,Pre,-7.000000,0.646800
S18,Pre,-6.500000,0.597565
S18,Pre,-6.000000,0.457357
S18,Pre,-5.500000,0.247520
S18,Pre,-5.000000,-0.000000
S18,Pre,-4.500000,-0.247520
S18,Pre,-4.000000,-0.457357
S18,Pre,-3.500000,-0.597565
S18,Pre,-3.000000,-0.646800
S18,Pre,-2.500000,-0.597565
S18,Pre,-2.000000,-0.457357
S18,Pre,-1.500000,-0.247520
S18,Pre,-1.000000,0.000000
S18,Pre,-0.500000,0.247520
S18,Pre,0.000000,0.457357
S18,Pre,0.500000,0.597565
S18,Pre,1.000000,0.646800
S18,Pre,1.500000,0.597565
S18,Pre,2.000000,0.457357
S18,Pre,2.500000,0.247520
S18,Pre,3.000000,0.000000
S18,Pre,3.500000,-0.247520
S18,Pre,4.000000,-0.457357
S18,Pre,4.500000,-0.597565
S18,Pre,5.000000,-0.646800
S18,Pre,5.500000,-0.597565
S18,Pre,6.000000,-0.457357
S18,Pre,6.500000,-0.247520
S18,Pre,7.000000,-0.000000
S18,Pre,7.500000,0.247520
S18,Pre,8.000000,0.457357
S18,Pre,8.500000,0.597565
S18,Pre,9.000000,0.646800
S18,Pre,9.500000,0.597565
S18,Pre,10.000000,0.457357
S01,Stim,-10.000000,-0.504874
S01,Stim,-9.500000,-0.273236
S01,Stim,-9.000000,0.000000
S01,Stim,-8.500000,0.273236
S01,Stim,-8.000000,0.504874
S01,Stim,-7.500000,0.659650
S01,Stim,-7.000000,0.714000
S01,Stim,-6.500000,0.659650
S01,Stim,-6.000000,0.504874
S01,Stim,-5.500000,0.273236
S01,Stim,-5.000000,-0.000000
S01,Stim,-4.500000,-0.273236
S01,Stim,-4.000000,-0.504874
S01,Stim,-3.500000,-0.659650
S01,Stim,-3.000000,-0.714000
S01,Stim,-2.500000,-0.659650
S01,Stim,-2.000000,-0.504874
S01,Stim,-1.500000,-0.273236
S01,Stim,-1.000000,0.000000
S01,Stim,-0.500000,0.273236
S01,Stim,0.000000,0.504874
S01,Stim,0.500000,0.659650
S01,Stim,1.000000,0.714000
S01,Stim,1.500000,0.659650
S01,Stim,2.000000,0.504874
S01,Stim,2.500000,0.273236
S01,Stim,3.000000,0.000000
S01,Stim,3.500000,-0.273236
S01,Stim,4.000000,-0.504874
S01,Stim,4.500000,-0.659650
S01,Stim,5.000000,-0.714000
S01,Stim,5.500000,-0.659650
S01,Stim,6.000000,-0.504874
S01,Stim,6.500000,-0.273236
S01,Stim,7.000000,-0.000000
S01,Stim,7.500000,0.273236
S01,Stim,8.000000,0.504874
S01,Stim,8.500000,0.659650
S01,Stim,9.000000,0.714000
S01,Stim,9.500000,0.659650
S01,Stim,10.000000,0.504874
