subject_id,phase,lag_s,correlation
S06,Pre,0.500000,0.682932
S06,Pre,1.000000,0.739200
S06,Pre,1.500000,0.682932
S06,Pre,2.000000,0.522693
S06,Pre,2.500000,0.282880
S06,Pre,3.000000,0.000000
S06,Pre,3.500000,-0.282880
S06,Pre,4.000000,-0.522693
S06,Pre,4.500000,-0.682932
S06,Pre,5.000000,-0.739200
S06,Pre,5.500000,-0.682932
S06,Pre,6.000000,-0.522693
S06,Pre,6.500000,-0.282880
S06,Pre,7.000000,-0.000000
S06,Pre,7.500000,0.282880
S06,Pre,8.000000,0.522693
S06,Pre,8.500000,0.682932
S06,Pre,9.000000,0.739200
S06,Pre,9.500000,0.682932
S06,Pre,10.000000,0.522693
S07,Pre,-10.000000,-0.522693
S07,Pre,-9.500000,-0.282880
S07,Pre,-9.000000,0.000000
S07,Pre,-8.500000,0.282880
S07,Pre,-8.000000,0.522693
S07,Pre,-7.500000,0.682932
S07,Pre,-7.000000,0.739200
S07,Pre,-6.500000,0.682932
S07,Pre,-6.000000,0.522693
S07,Pre,-5.500000,0.282880
S07,Pre,-5.000000,-0.000000
S07,Pre,-4.500000,-0.282880
S07,Pre,-4.000000,-0.522693
S07,Pre,-3.500000,-0.682932
S07,Pre,-3.000000,-0.739200
S07,Pre,-2.500000,-0.682932
S07,Pre,-2.000000,-0.522693
S07,Pre,-1.500000,-0.282880
S07,Pre,-1.000000,0.000000
S07,Pre,-0.500000,0.282880
S07,Pre,0.000000,0.522693
S07,Pre,0.500000,0.682932
S07,Pre,1.000000,0.739200
S07,Pre,1.500000,0.682932
S07,Pre,2.000000,0.522693
S07,Pre,2.500000,0.282880
S07,Pre,3.000000,0.000000
S07,Pre,3.500000,-0.282880
S07,Pre,4.000000,-0.522693
S07,Pre,4.500000,-0.682932
S07,Pre,5.000000,-0.739200
S07,Pre,5.500000,-0.682932
S07,Pre,6.000000,-0.522693
S07,Pre,6.500000,-0.282880
S07,Pre,7.000000,-0.000000
S07,Pre,7.500000,0.282880
S07,Pre,8.000000,0.522693
S07,Pre,8.500000,0.682932
S07,Pre,9.000000,0.739200
S07,Pre,9.500000,0.682932
S07,Pre,10.000000,0.522693
S08,Pre,-10.000000,-0.522693
S08,Pre,-9.500000,-0.282880
S08,Pre,-9.000000,0.000000
S08,Pre,-8.500000,0.282880
S08,Pre,-8.000000,0.522693
S08,Pre,-7.500000,0.682932
S08,Pre,-7.000000,0.739200
S08,Pre,-6.500000,0.682932
S08,Pre,-6.000000,0.522693
S08,Pre,-5.500000,0.282880
S08,Pre,-5.000000,-0.000000
S08,Pre,-4.500000,-0.282880
S08,Pre,-4.000000,-0.522693
S08,Pre,-3.500000,-0.682932
S08,Pre,-3.000000,-0.739200
S08,Pre,-2.500000,-0.682932
S08,Pre,-2.000000,-0.522693
S08,Pre,-1.500000,-0.282880
S08,Pre,-1.000000,0.000000
S08,Pre,-0.500000,0.282880
S08,Pre,0.000000,0.522693
S08,Pre,0.500000,0.682932
S08,Pre,1.000000,0.739200
S08,Pre,1.500000,0.682932
S08,Pre,2.000000,0.522693
S08,Pre,2.500000,0.282880
S08,Pre,3.000000,0.000000
S08,Pre,3.500000,-0.282880
S08,Pre,4.000000,-0.522693
S08,Pre,4.500000,-0.682932
S08,Pre,5.000000,-0.739200
S08,Pre,5.500000,-0.682932
S08,Pre,6.000000,-0.522693
S08,Pre,6.500000,-0.282880
S08,Pre,7.000000,-0.000000
S08,Pre,7.500000,0.282880
S08,Pre,8.000000,0.522693
S08,Pre,8.500000,0.682932
S08,Pre,9.000000,0.739200
S08,Pre,9.500000,0.682932
S08,Pre,10.000000,0.522693
S09,Pre,-10.000000,-0.522693
S09,Pre,-9.500000,-0.282880
S09,Pre,-9.000000,0.000000
S09,Pre,-8.500000,0.282880
S09,Pre,-8.000000,0.522693
S09,Pre,-7.500000,0.682932
S09,Pre,-7.000000,0.739200
S09,Pre,-6.500000,0.682932
S09,Pre,-6.000000,0.522693
S09,Pre,-5.500000,0.282880
S09,Pre,-5.000000,-0.000000
S09,Pre,-4.500000,-0.282880
S09,Pre,-4.000000,-0.522693
S09,Pre,-3.500000,-0.682932
S09,Pre,-3.000000,-0.739200
S09,Pre,-2.500000,-0.682932
S09,Pre,-2.000000,-0.522693
S09,Pre,-1.500000,-0.282880
S09,Pre,-1.000000,0.000000
S09,Pre,-0.500000,0.282880
S09,Pre,0.000000,0.522693
S09,Pre,0.500000,0.682932
S09,Pre,1.000000,0.739200
S09,Pre,1.500000,0.682932
S09,Pre,2.000000,0.522693
S09,Pre,2.500000,0.282880
S09,Pre,3.000000,0.000000
S09,Pre,3.500000,-0.282880
S09,Pre,4.000000,-0.522693
S09,Pre,4.500000,-0.682932
S09,Pre,5.000000,-0.739200
S09,Pre,5.500000,-0.682932
S09,Pre,6.000000,-0.522693
S09,Pre,6.500000,-0.282880
S09,Pre,7.000000,-0.000000
S09,Pre,7.500000,0.282880
S09,Pre,8.000000,0.522693
S09,Pre,8.500000,0.682932
S09,Pre,9.000000,0.739200
S09,Pre,9.500000,0.682932
S09,Pre,10.000000,0.522693
S10,Pre,-10.000000,-0.522693
S10,Pre,-9.500000,-0.282880
S10,Pre,-9.000000,0.000000
S10,Pre,-8.500000,0.282880
S10,Pre,-8.000000,0.522693
S10,Pre,-7.500000,0.682932
S10,Pre,-7.000000,0.739200
S10,Pre,-6.500000,0.682932
S10,Pre,-6.000000,0.522693
S10,Pre,-5.500000,0.282880
S10,Pre,-5.000000,-0.000000
S10,Pre,-4.500000,-0.282880
S10,Pre,-4.000000,-0.522693
S10,Pre,-3.500000,-0.682932
S10,Pre,-3.000000,-0.739200
S10,Pre,-2.500000,-0.682932
S10,Pre,-2.000000,-0.522693
S10,Pre,-1.500000,-0.282880
S10,Pre,-1.000000,0.000000
S10,Pre,-0.500000,0.282880
S10,Pre,0.000000,0.522693
S10,Pre,0.500000,0.682932
S10,Pre,1.000000,0.739200
S10,Pre,1.500000,0.682932
S10,Pre,2.000000,0.522693
S10,Pre,2.500000,0.282880
S10,Pre,3.000000,0.000000
S10,Pre,3.500000,-0.282880
S10,Pre,4.000000,-0.522693
S10,Pre,4.500000,-0.682932
S10,Pre,5.000000,-0.739200
S10,Pre,5.500000,-0.682932
S10,Pre,6.000000,-0.522693
S10,Pre,6.500000,-0.282880
S10,Pre,7.000000,-0.000000
S10,Pre,7.500000,0.282880
S10,Pre,8.000000,0.522693
S10,Pre,8.500000,0.682932
S10,Pre,9.000000,0.739200
S10,Pre,9.500000,0.682932
S10,Pre,10.000000,0.522693
S11,Pre,-10.000000,-0.522693
S11,Pre,-9.500000,-0.282880
S11,Pre,-9.000000,0.000000
S11,Pre,-8.500000,0.282880
S11,Pre,-8.000000,0.522693
S11,Pre,-7.500000,0.682932
S11,Pre,-7.000000,0.739200
S11,Pre,-6.500000,0.682932
S11,Pre,-6.000000,0.522693
S11,Pre,-5.500000,0.282880
S11,Pre,-5.000000,-0.000000
S11,Pre,-4.500000,-0.282880
S11,Pre,-4.000000,-0.522693
S11,Pre,-3.500000,-0.682932
S11,Pre,-3.000000,-0.739200
S11,Pre,-2.500000,-0.682932
S11,Pre,-2.000000,-0.522693
S11,Pre,-1.500000,-0.282880
S11,Pre,-1.000000,0.000000
S11,Pre,-0.500000,0.282880
S11,Pre,0.000000,0.522693
S11,Pre,0.500000,0.682932
S11,Pre,1.000000,0.739200
S11,Pre,1.500000,0.682932
S11,Pre,2.000000,0.522693
S11,Pre,2.500000,0.282880
S11,Pre,3.000000,0.000000
S11,Pre,3.500000,-0.282880
S11,Pre,4.000000,-0.522693
S11,Pre,4.500000,-0.682932
S11,Pre,5.000000,-0.739200
S11,Pre,5.500000,-0.682932
S11,Pre,6.000000,-0.522693
S11,Pre,6.500000,-0.282880
S11,Pre,7.000000,-0.000000
S11,Pre,7.500000,0.282880
S11,Pre,8.000000,0.522693
S11,Pre,8.500000,0.682932
S11,Pre,9.000000,0.739200
S11,Pre,9.500000,0.682932
S11,Pre,10.000000,0.522693
S12,Pre,-10.000000,-0.522693
S12,Pre,-9.500000,-0.282880
S12,Pre,-9.000000,0.000000
S12,Pre,-8.500000,0.282880
S12,Pre,-8.000000,0.522693
S12,Pre,-7.500000,0.682932
S12,Pre,-7.000000,0.739200
S12,Pre,-6.500000,0.682932
S12,Pre,-6.000000,0.522693
S12,Pre,-5.500000,0.282880
S12,Pre,-5.000000,-0.000000
S12,Pre,-4.500000,-0.282880
S12,Pre,-4.000000,-0.522693
S12,Pre,-3.500000,-0.682932
S12,Pre,-3.000000,-0.739200
S12,Pre,-2.500000,-0.682932
S12,Pre,-2.000000,-0.522693
S12,Pre,-1.500000,-0.282880
S12,Pre,-1.000000,0.000000
S12,Pre,-0.500000,0.282880
S12,Pre,0.000000,0.522693
S12,Pre,0.500000,0.682932
S12,Pre,1.000000,0.739200
S12,Pre,1.500000,0.682932
S12,Pre,2.000000,0.522693
S12,Pre,2.500000,0.282880
S12,Pre,3.000000,0.000000
S12,Pre,3.500000,-0.282880
S12,Pre,4.000000,-0.522693
S12,Pre,4.500000,-0.682932
S12,Pre,5.000000,-0.739200
S12,Pre,5.500000,-0.682932
S12,Pre,6.000000,-0.522693
S12,Pre,6.500000,-0.282880
S12,Pre,7.000000,-0.000000
S12,Pre,7.500000,0.282880
S12,Pre,8.000000,0.522693
S12,Pre,8.500000,0.682932
S12,Pre,9.000000,0.739200
S12,Pre,9.500000,0.682932
S12,Pre,10.000000,0.522693
S13,Pre,-10.000000,-0.522693
S13,Pre,-9.500000,-0.282880
S13,Pre,-9.000000,0.000000
S13,Pre,-8.500000,0.282880
S13,Pre,-8.000000,0.522693
S13,Pre,-7.500000,0.682932
S13,Pre,-7.000000,0.739200
S13,Pre,-6.500000,0.682932
S13,Pre,-6.000000,0.522693
S13,Pre,-5.500000,0.282880
S13,Pre,-5.000000,-0.000000
S13,Pre,-4.500000,-0.282880
S13,Pre,-4.000000,-0.522693
S13,Pre,-3.500000,-0.682932
S13,Pre,-3.000000,-0.739200
S13,Pre,-2.500000,-0.682932
S13,Pre,-2.000000,-0.522693
S13,Pre,-1.500000,-0.282880
S13,Pre,-1.000000,0.000000
S13,Pre,-0.500000,0.282880
S13,Pre,0.000000,0.522693
S13,Pre,0.500000,0.682932
S13,Pre,1.000000,0.739200
S13,Pre,1.500000,0.682932
S13,Pre,2.000000,0.522693
S13,Pre,2.500000,0.282880
S13,Pre,3.000000,0.000000
S13,Pre,3.500000,-0.282880
S13,Pre,4.000000,-0.522693
S13,Pre,4.500000,-0.682932
S13,Pre,5.000000,-0.739200
S13,Pre,5.500000,-0.682932
S13,Pre,6.000000,-0.522693
S13,Pre,6.500000,-0.282880
S13,Pre,7.000000,-0.000000
S13,Pre,7.500000,0.282880
S13,Pre,8.000000,0.522693
S13,Pre,8.500000,0.682932
S13,Pre,9.000000,0.739200
S13,Pre,9.500000,0.682932
S13,Pre,10.000000,0.522693
S14,Pre,-10.000000,-0.522693
S14,Pre,-9.500000,-0.282880
S14,Pre,-9.000000,0.000000
S14,Pre,-8.500000,0.282880
S14,Pre,-8.000000,0.522693
S14,Pre,-7.500000,0.682932
S14,Pre,-7.000000,0.739200
S14,Pre,-6.500000,0.682932
S14,Pre,-6.000000,0.522693
S14,Pre,-5.500000,0.282880
S14,Pre,-5.000000,-0.000000
S14,Pre,-4.500000,-0.282880
S14,Pre,-4.000000,-0.522693
S14,Pre,-3.500000,-0.682932
S14,Pre,-3.000000,-0.739200
S14,Pre,-2.500000,-0.682932
S14,Pre,-2.000000,-0.522693
S14,Pre,-1.500000,-0.282880
S14,Pre,-1.000000,0.000000
S14,Pre,-0.500000,0.282880
S14,Pre,0.000000,0.522693
S14,Pre,0.500000,0.682932
S14,Pre,1.000000,0.739200
S14,Pre,1.500000,0.682932
S14,Pre,2.000000,0.522693
S14,Pre,2.500000,0.282880
S14,Pre,3.000000,0.000000
S14,Pre,3.500000,-0.282880
S14,Pre,4.000000,-0.522693
S14,Pre,4.500000,-0.682932
S14,Pre,5.000000,-0.739200
S14,Pre,5.500000,-0.682932
S14,Pre,6.000000,-0.522693
S14,Pre,6.500000,-0.282880
S14,Pre,7.000000,-0.000000
S14,Pre,7.500000,0.282880
S14,Pre,8.000000,0.522693
S14,Pre,8.500000,0.682932
S14,Pre,9.000000,0.739200
S14,Pre,9.500000,0.682932
S14,Pre,10.000000,0.522693
S15,Pre,-10.000000,-0.522693
S15,Pre,-9.500000,-0.282880
S15,Pre,-9.000000,0.000000
S15,Pre,-8.500000,0.282880
S15,Pre,-8.000000,0.522693
S15,Pre,-7.500000,0.682932
S15,Pre,-7.000000,0.739200
S15,Pre,-6.500000,0.682932
S15,Pre,-6.000000,0.522693
S15,Pre,-5.500000,0.282880
S15,Pre,-5.000000,-0.000000
S15,Pre,-4.500000,-0.282880
S15,Pre,-4.000000,-0.522693
S15,Pre,-3.500000,-0.682932
S15,Pre,-3.000000,-0.739200
S15,Pre,-2.500000,-0.682932
S15,Pre,-2.000000,-0.522693
S15,Pre,-1.500000,-0.282880
S15,Pre,-1.000000,0.000000
S15,Pre,-0.500000,0.282880
S15,Pre,0.000000,0.522693
S15,Pre,0.500000,0.682932
S15,Pre,1.000000,0.739200
S15,Pre,1.500000,0.682932
S15,Pre,2.000000,0.522693
S15,Pre,2.500000,0.282880
S15,Pre,3.000000,0.000000
S15,Pre,3.500000,-0.282880
S15,Pre,4.000000,-0.522693
S15,Pre,4.500000,-0.682932
S15,Pre,5.000000,-0.739200
S15,Pre,5.500000,-0.682932
S15,Pre,6.000000,-0.522693
S15,Pre,6.500000,-0.282880
S15,Pre,7.000000,-0.000000
S15,Pre,7.500000,0.282880
S15,Pre,8.000000,0.522693
S15,Pre,8.500000,0.682932
S15,Pre,9.000000,0.739200
S15,Pre,9.500000,0.682932
S15,Pre,10.000000,0.522693
S16,Pre,-10.000000,-0.522693
S16,Pre,-9.500000,-0.282880
S16,Pre,-9.000000,0.000000
S16,Pre,-8.500000,0.282880
S16,Pre,-8.000000,0.522693
S16,Pre,-7.500000,0.682932
S16,Pre,-7.000000,0.739200
S16,Pre,-6.500000,0.682932
S16,Pre,-6.000000,0.522693
S16,Pre,-5.500000,0.282880
S16,Pre,-5.000000,-0.000000
S16,Pre,-4.500000,-0.282880
S16,Pre,-4.000000,-0.522693
S16,Pre,-3.500000,-0.682932
S16,Pre,-3.000000,-0.739200
S16,Pre,-2.500000,-0.682932
S16,Pre,-2.000000,-0.522693
S16,Pre,-1.500000,-0.282880
S16,Pre,-1.000000,0.000000
S16,Pre,-0.500000,0.282880
S16,Pre,0.000000,0.522693
S16,Pre,0.500000,0.682932
S16,Pre,1.000000,0.739200
S16,Pre,1.500000,0.682932
S16,Pre,2.000000,0.522693
S16,Pre,2.500000,0.282880
S16,Pre,3.000000,0.000000
S16,Pre,3.500000,-0.282880
S16,Pre,4.000000,-0.522693
S16,Pre,4.500000,-0.682932
S16,Pre,5.000000,-0.739200
S16,Pre,5.500000,-0.682932
S16,Pre,6.000000,-0.522693
S16,Pre,6.500000,-0.282880
S16,Pre,7.000000,-0.000000
S16,Pre,7.500000,0.282880
S16,Pre,8.000000,0.522693
S16,Pre,8.500000,0.682932
S16,Pre,9.000000,0.739200
S16,Pre,9.500000,0.682932
S16,Pre,10.000000,0.522693
S17,Pre,-10.000000,-0.522693
S17,Pre,-9.500000,-0.282880
S17,Pre,-9.000000,0.000000
S17,Pre,-8.500000,0.282880
S17,Pre,-8.000000,0.522693
S17,Pre,-7.500000,0.682932
S17,Pre,-7.000000,0.739200
S17,Pre,-6.500000,0.682932
S17,Pre,-6.000000,0.522693
S17,Pre,-5.500000,0.282880
S17,Pre,-5.000000,-0.000000
S17,Pre,-4.500000,-0.282880
S17,Pre,-4.000000,-0.522693
S17,Pre,-3.500000,-0.682932
S17,Pre,-3.000000,-0.739200
S17,Pre,-2.500000,-0.682932
S17,Pre,-2.000000,-0.522693
S17,Pre,-1.500000,-0.282880
S17,Pre,-1.000000,0.000000
S17,Pre,-0.500000,0.282880
S17,Pre,0.000000,0.522693
S17,Pre,0.500000,0.682932
S17,Pre,1.000000,0.739200
S17,Pre,1.500000,0.682932
S17,Pre,2.000000,0.522693
S17,Pre,2.500000,0.282880
S17,Pre,3.000000,0.000000
S17,Pre,3.500000,-0.282880
S17,Pre,4.000000,-0.522693
S17,Pre,4.500000,-0.682932
S17,Pre,5.000000,-0.739200
S17,Pre,5.500000,-0.682932
S17,Pre,6.000000,-0.522693
S17,Pre,6.500000,-0.282880
S17,Pre,7.000000,-0.000000
S17,Pre,7.500000,0.282880
S17,Pre,8.000000,0.522693
S17,Pre,8.500000,0.682932
S17,Pre,9.000000,0.739200
S17,Pre,9.500000,0.682932
S17,Pre,10.000000,0.522693
S18,Pre,-10.000000,-0.522693
S18,Pre,-9.500000,-0.282880
S18,Pre,-9.000000,0.000000
S18,Pre,-8.500000,0.282880
S18,Pre,-8.000000,0.522693
S18,Pre,-7.500000,0.682932
S18,Pre,-7.000000,0.739200
S18,Pre,-6.500000,0.682932
S18,Pre,-6.000000,0.522693
S18,Pre,-5.500000,0.282880
S18,Pre,-5.000000,-0.000000
S18,Pre,-4.500000,-0.282880
S18,Pre,-4.000000,-0.522693
S18,Pre,-3.500000,-0.682932
S18,Pre,-3.000000,-0.739200
S18,Pre,-2.500000,-0.682932
S18,Pre,-2.000000,-0.522693
S18,Pre,-1.500000,-0.282880
S18,Pre,-1.000000,0.000000
S18,Pre,-0.500000,0.282880
S18,Pre,0.000000,0.522693
S18,Pre,0.500000,0.682932
S18,Pre,1.000000,0.739200
S18,Pre,1.500000,0.682932
S18,Pre,2.000000,0.522693
S18,Pre,2.500000,0.282880
S18,Pre,3.000000,0.000000
S18,Pre,3.500000,-0.282880
S18,Pre,4.000000,-0.522693
S18,Pre,4.500000,-0.682932
S18,Pre,5.000000,-0.739200
S18,Pre,5.500000,-0.682932
S18,Pre,6.000000,-0.522693
S18,Pre,6.500000,-0.282880
S18,Pre,7.000000,-0.000000
S18,Pre,7.500000,0.282880
S18,Pre,8.000000,0.522693
S18,Pre,8.500000,0.682932
S18,Pre,9.000000,0.739200
S18,Pre,9.500000,0.682932
S18,Pre,10.000000,0.522693
S01,Stim,-10.000000,-0.576999
S01,Stim,-9.500000,-0.312270
S01,Stim,-9.000000,0.000000
S01,Stim,-8.500000,0.312270
S01,Stim,-8.000000,0.576999
S01,Stim,-7.500000,0.753886
S01,Stim,-7.000000,0.816000
S01,Stim,-6.500000,0.753886
S01,Stim,-6.000000,0.576999
S01,Stim,-5.500000,0.312270
S01,Stim,-5.000000,-0.000000
S01,Stim,-4.500000,-0.312270
S01,Stim,-4.000000,-0.576999
S01,Stim,-3.500000,-0.753886
S01,Stim,-3.000000,-0.816000
S01,Stim,-2.500000,-0.753886
S01,Stim,-2.000000,-0.576999
S01,Stim,-1.500000,-0.312270
S01,Stim,-1.000000,0.000000
S01,Stim,-0.500000,0.312270
S01,Stim,0.000000,0.576999
S01,Stim,0.500000,0.753886
S01,Stim,1.000000,0.816000
S01,Stim,1.500000,0.753886
S01,Stim,2.000000,0.576999
S01,Stim,2.500000,0.312270
S01,Stim,3.000000,0.000000
S01,Stim,3.500000,-0.312270
S01,Stim,4.000000,-0.576999
S01,Stim,4.500000,-0.753886
S01,Stim,5.000000,-0.816000
S01,Stim,5.500000,-0.753886
S01,Stim,6.000000,-0.576999
S01,Stim,6.500000,-0.312270
S01,Stim,7.000000,-0.000000
S01,Stim,7.500000,0.312270
S01,Stim,8.000000,0.576999
S01,Stim,8.500000,0.753886
S01,Stim,9.000000,0.816000
S01,Stim,9.500000,0.753886
S01,Stim,10.000000,0.576999
