Metric,Category,n,Description,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type,Reliability_flag
DC,BPRSA,18,Deceleration Capacity (vagal tone proxy),11.46,6.32,12.87,7.00,10.76,6.03,0.49,0.0539,0.2477,0.73,-0.29,0.2288,0.7012,2.14,-0.61,0.0268,0.7060,,,D,
DC_AC_ratio,BPRSA,18,DC/AC ratio (autonomic balance),-1.01,0.14,-1.05,0.12,-0.94,0.24,-0.33,0.1815,0.5565,1.78,0.27,0.4171,0.7675,2.33,0.42,0.0898,0.7060,,,D,
GC_F_BP_to_RRI,Bivariate Granger Causality,18,Bivariate GC: BP -> RRI (feedforward baroreflex),6.76,,10.16,,7.65,,0.77,0.0040,0.0368,,0.25,0.3247,0.7197,2.52,,,,,,B,
GC_F_RRI_to_SBP,Bivariate Granger Causality,18,Bivariate GC: RRI -> SBP (mechanical feedback),23.32,,27.46,,26.41,,0.69,0.0182,0.1395,0.18,0.36,0.1084,0.3836,1.54,,,,,,B,
SGC_RRI_to_SBP_HF,Spectral GC,18,SGC RRI->SBP (HF),0.18,0.10,0.20,0.12,0.17,0.10,0.26,0.4951,0.7591,2.42,-0.14,0.5798,0.9492,3.52,-0.33,0.3465,0.8329,,,D,
SGC_RRI_to_SBP_LF,Spectral GC,18,SGC RRI->SBP (LF),0.07,0.03,0.07,0.03,0.07,0.04,-0.10,0.7660,0.9035,3.80,-0.17,0.5226,0.8999,3.27,-0.05,0.9661,1.0000,,,D,
SGC_RRI_to_SBP_Mayer,Spectral GC,18,SGC RRI->SBP (Mayer),0.03,0.01,0.02,0.01,0.02,0.01,-0.24,0.3927,0.7591,2.62,-0.26,0.3692,0.7197,2.42,0.00,1.0000,1.0000,,,D,
SGC_RRI_to_SBP_VLF,Spectral GC,18,SGC RRI->SBP (VLF),0.01,0.01,0.01,0.01,0.01,0.01,-0.02,1.0000,1.0000,4.10,0.19,0.3247,0.7197,3.09,0.37,0.2645,0.8329,,,D,
SGC_RRI_to_SBP_total,Spectral GC,18,Geweke SGC RRI->SBP (total band),0.67,0.31,0.77,0.45,0.67,0.38,0.30,0.3927,0.7591,2.05,0.00,0.8650,0.9627,4.11,-0.29,0.4951,0.8329,,,D,
SGC_SBP_to_RRI_HF,Spectral GC,18,SGC SBP->RRI (HF 0.15-0.40 Hz),0.08,0.03,0.08,0.04,0.06,0.03,0.07,0.8986,0.9613,3.96,-0.49,0.0599,0.3444,0.73,-0.49,0.0814,0.7060,,,D,
SGC_SBP_to_RRI_LF,Spectral GC,18,SGC SBP->RRI (LF 0.04-0.15 Hz),0.02,0.01,0.03,0.02,0.03,0.02,0.41,0.2462,0.6292,1.18,0.66,0.0159,0.2180,0.23,0.06,0.7337,0.9333,,,C,
SGC_SBP_to_RRI_Mayer,Spectral GC,18,SGC SBP->RRI (Mayer 0.08-0.12 Hz),0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.4951,0.7591,1.54,0.61,0.0304,0.2331,0.32,0.10,0.4423,0.8329,,,C,
SGC_SBP_to_RRI_VLF,Spectral GC,18,SGC SBP->RRI (VLF 0.003-0.04 Hz),0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.9323,0.9747,4.06,-0.04,0.6397,0.9492,4.06,-0.06,0.7660,0.9333,,,D,
SGC_SBP_to_RRI_total,Spectral GC,18,Geweke SGC SBP->RRI (total band),0.39,0.19,0.49,0.42,0.35,0.20,0.26,0.7337,0.8882,2.42,-0.34,0.1084,0.3836,1.70,-0.37,0.1415,0.7253,,,D,
GC3_F_PTT_to_RRI,Trivariate GC,16,GC3 PTT->RRI,3.16,4.44,2.95,5.20,4.34,5.38,-0.19,0.4037,0.7591,3.04,0.34,0.5282,0.8999,1.80,0.34,0.0833,0.7060,,,D,
GC3_F_PTT_to_SBP,Trivariate GC,16,GC3 PTT->SBP (vascular -> pressure),3.02,3.18,3.02,3.48,3.48,3.83,0.01,0.7057,0.8774,3.91,0.21,0.8603,0.9627,2.88,0.23,0.8209,0.9333,,,D,
GC3_F_RRI_to_PTT,Trivariate GC,16,GC3 RRI->PTT (cardiac timing -> vascular transit),7.99,10.10,9.81,11.08,11.34,13.80,0.85,0.0034,0.0368,,0.34,0.0833,0.3836,1.80,0.14,0.7820,0.9333,,,B,
GC3_F_RRI_to_SBP,Trivariate GC,16,GC3 RRI->SBP (controlling PTT),15.47,9.01,18.59,11.13,17.80,10.47,0.53,0.0739,0.2833,0.68,0.39,0.2114,0.6946,1.43,-0.17,0.4637,0.8329,,,D,
GC3_F_SBP_to_PTT,Trivariate GC,16,GC3 SBP->PTT,3.83,1.99,3.92,1.95,3.81,2.55,0.04,0.5966,0.8316,3.87,-0.01,0.8209,0.9627,3.91,-0.06,0.5282,0.8329,,,D,
GC3_F_SBP_to_RRI,Trivariate GC,16,GC3 SBP->RRI (controlling PTT),4.22,2.31,5.48,2.00,4.20,2.43,0.44,0.0443,0.2265,1.11,-0.01,0.7820,0.9627,3.91,-0.46,0.1046,0.7060,,,B,
PDC_PTT_to_RRI_Mayer,PDC,16,PDC PTT->RRI (Mayer),0.03,0.04,0.01,0.01,0.04,0.10,-0.46,0.0739,0.2833,1.00,0.16,0.9799,1.0000,3.27,0.28,0.1928,0.8329,,,D,
PDC_PTT_to_SBP_Mayer,PDC,16,PDC PTT->SBP (Mayer),0.03,0.06,0.02,0.03,0.02,0.04,-0.19,0.8603,0.9613,3.04,-0.35,0.0934,0.3836,1.72,-0.08,0.6685,0.9333,,,D,
PDC_RRI_to_SBP_Mayer,PDC,16,PDC RRI->SBP (Mayer),0.16,0.11,0.12,0.07,0.12,0.06,-0.45,0.1167,0.4128,1.06,-0.33,0.2744,0.7012,1.88,0.01,0.8603,0.9333,,,D,
PDC_SBP_to_RRI_Mayer,PDC,16,Partial Directed Coherence SBP->RRI (Mayer),0.18,0.14,0.22,0.19,0.20,0.16,0.23,0.4037,0.7591,2.71,0.13,0.3755,0.7197,3.47,-0.16,0.8603,0.9333,,,D,
rho_u,VAR Residuals,18,Residual cross-correlation (unexplained coupling),0.32,0.13,0.29,0.20,0.22,0.21,-0.18,0.1674,0.5499,3.18,-0.60,0.0028,0.0644,0.35,-0.28,0.3927,0.8329,,,C,
sigma2_RRI,VAR Residuals,18,VAR innovation variance (RRI),0.00,0.00,0.00,0.00,0.00,0.00,-0.40,0.3465,0.7591,1.24,0.08,1.0000,1.0000,3.91,0.34,0.3465,0.8329,,,D,
sigma2_SBP,VAR Residuals,18,VAR innovation variance (SBP),0.00,0.00,0.00,0.00,0.00,0.00,-0.12,0.8986,0.9613,3.67,-0.21,0.7660,0.9627,2.90,-0.02,0.8650,0.9333,,,D,
Snn_RRI_Mayer,Innovation Variance,18,RRI noise spectrum (Mayer band),0.23,0.15,0.19,0.11,0.20,0.10,-0.31,0.2121,0.6099,1.96,-0.27,0.3692,0.7197,2.33,0.07,0.7660,0.9333,,,D,
innov_RRI_from_SBP_frac_Mayer,Innovation Variance,18,SBP-driven RRI innovation fraction (Mayer band),0.15,0.12,0.19,0.16,0.21,0.13,0.31,0.4683,0.7591,1.96,0.63,0.0237,0.2180,0.28,0.19,0.4171,0.8329,,,C,
innov_RRI_own_frac_Mayer,Innovation Variance,18,RRI self-innovation fraction (Mayer band),0.85,0.12,0.81,0.16,0.79,0.13,-0.31,0.4683,0.7591,1.96,-0.63,0.0237,0.2180,0.28,-0.19,0.4171,0.8329,,,C,
SNR_openloop_Mayer,CGN,18,Open-loop SNR = gamma2/(1-gamma2) (Mayer),5.05,4.54,6.58,6.28,5.61,5.40,0.20,0.5509,0.7919,3.00,0.10,0.9661,1.0000,3.80,-0.11,0.3927,0.8329,,,D,
SNR_openloop_Mayer_dB,CGN,18,SNR in dB (Mayer band),5.48,3.81,6.15,4.70,5.86,3.88,0.12,0.6705,0.8568,3.67,0.10,0.7987,0.9627,3.80,-0.05,0.7987,0.9333,,,D,
Snn_Syy_ratio_Mayer,CGN,18,Noise/output ratio Snn/Syy (Mayer),0.22,0.14,0.20,0.17,0.20,0.16,-0.11,0.7987,0.9185,3.73,-0.12,0.2645,0.7012,3.67,-0.02,0.4683,0.8329,,,D,
Snn_openloop_Mayer,CGN,18,Open-loop noise spectrum Snn (Mayer),67.79,58.50,101.34,184.20,64.06,86.18,0.23,0.2288,0.6190,2.71,-0.05,0.3465,0.7197,4.03,-0.26,0.4423,0.8329,,,D,
gamma2_mean_Mayer,CGN,18,"Mean squared coherence (Mayer, from VAR)",0.75,0.15,0.76,0.18,0.76,0.15,0.08,0.6705,0.8568,3.91,0.10,0.8986,0.9627,3.80,-0.01,0.8317,0.9333,,,D,
PTT_mean,PAT,16,Mean Pulse Arrival Time (ms),308.85,68.84,308.94,70.09,309.09,67.64,0.03,0.9799,1.0000,3.89,0.05,0.8999,0.9627,3.85,0.03,0.8603,0.9333,,,D,
