frequency_hz,t_000,t_005,t_010,t_015,t_020,t_025,t_030,t_035,t_040,t_045,t_050,t_055,t_060,t_065,t_070,t_075,t_080,t_085,t_090,t_095,t_100,t_105,t_110,t_115,t_120,t_125,t_130,t_135,t_140,t_145,t_150,t_155,t_160,t_165,t_170,t_175,t_180,t_185,t_190,t_195,t_200,t_205,t_210,t_215,t_220,t_225,t_230,t_235,t_240,t_245,t_250,t_255,t_260,t_265,t_270,t_275,t_280,t_285,t_290,t_295,t_300
0.269787,0.780111,0.779947,0.779456,0.778643,0.777518,0.776092,0.774382,0.772406,0.770185,0.767745,0.765111,0.762313,0.759382,0.756349,0.753247,0.750111,0.746975,0.743874,0.740841,0.737909,0.735111,0.732478,0.730037,0.727817,0.725841,0.724130,0.722705,0.721580,0.720767,0.720276,0.720111,0.720276,0.720767,0.721580,0.722705,0.724130,0.725841,0.727817,0.730037,0.732478,0.735111,0.737909,0.740841,0.743874,0.746975,0.750111,0.753247,0.756349,0.759382,0.762313,0.765111,0.767745,0.770185,0.772406,0.774382,0.776092,0.777518,0.778643,0.779456,0.779947,0.780111
0.277447,0.780057,0.779893,0.779402,0.778589,0.777464,0.776038,0.774328,0.772352,0.770131,0.767691,0.765057,0.762259,0.759328,0.756295,0.753193,0.750057,0.746921,0.743820,0.740787,0.737855,0.735057,0.732424,0.729983,0.727763,0.725787,0.724076,0.722651,0.721526,0.720713,0.720222,0.720057,0.720222,0.720713,0.721526,0.722651,0.724076,0.725787,0.727763,0.729983,0.732424,0.735057,0.737855,0.740787,0.743820,0.746921,0.750057,0.753193,0.756295,0.759328,0.762259,0.765057,0.767691,0.770131,0.772352,0.774328,0.776038,0.777464,0.778589,0.779402,0.779893,0.780057
0.285106,0.780029,0.779864,0.779373,0.778560,0.777435,0.776009,0.774299,0.772323,0.770102,0.767662,0.765029,0.762231,0.759299,0.756266,0.753164,0.750029,0.746893,0.743791,0.740758,0.737826,0.735029,0.732395,0.729955,0.727734,0.725758,0.724048,0.722622,0.721497,0.720684,0.720193,0.720029,0.720193,0.720684,0.721497,0.722622,0.724048,0.725758,0.727734,0.729955,0.732395,0.735029,0.737826,0.740758,0.743791,0.746893,0.750029,0.753164,0.756266,0.759299,0.762231,0.765029,0.767662,0.770102,0.772323,0.774299,0.776009,0.777435,0.778560,0.779373,0.779864,0.780029
0.292766,0.780014,0.779850,0.779358,0.778546,0.777420,0.775995,0.774284,0.772308,0.770088,0.767647,0.765014,0.762216,0.759284,0.756251,0.753150,0.750014,0.746878,0.743777,0.740743,0.737812,0.735014,0.732380,0.729940,0.727720,0.725743,0.724033,0.722607,0.721482,0.720669,0.720178,0.720014,0.720178,0.720669,0.721482,0.722607,0.724033,0.725743,0.727720,0.729940,0.732380,0.735014,0.737812,0.740743,0.743777,0.746878,0.750014,0.753150,0.756251,0.759284,0.762216,0.765014,0.767647,0.770088,0.772308,0.774284,0.775995,0.777420,0.778546,0.779358,0.779850,0.780014
0.300426,0.780007,0.779842,0.779351,0.778538,0.777413,0.775987,0.774277,0.772301,0.770080,0.767640,0.765007,0.762209,0.759277,0.756244,0.753142,0.750007,0.746871,0.743769,0.740736,0.737804,0.735007,0.732373,0.729933,0.727712,0.725736,0.724026,0.722600,0.721475,0.720662,0.720171,0.720007,0.720171,0.720662,0.721475,0.722600,0.724026,0.725736,0.727712,0.729933,0.732373,0.735007,0.737804,0.740736,0.743769,0.746871,0.750007,0.753142,0.756244,0.759277,0.762209,0.765007,0.767640,0.770080,0.772301,0.774277,0.775987,0.777413,0.778538,0.779351,0.779842,0.780007
0.308085,0.780003,0.779839,0.779347,0.778535,0.777409,0.775984,0.774273,0.772297,0.770077,0.767637,0.765003,0.762205,0.759273,0.756240,0.753139,0.750003,0.746867,0.743766,0.740732,0.737801,0.735003,0.732369,0.729929,0.727709,0.725732,0.724022,0.722597,0.721471,0.720659,0.720167,0.720003,0.720167,0.720659,0.721471,0.722597,0.724022,0.725732,0.727709,0.729929,0.732369,0.735003,0.737801,0.740732,0.743766,0.746867,0.750003,0.753139,0.756240,0.759273,0.762205,0.765003,0.767637,0.770077,0.772297,0.774273,0.775984,0.777409,0.778535,0.779347,0.779839,0.780003
0.315745,0.780001,0.779837,0.779346,0.778533,0.777408,0.775982,0.774272,0.772296,0.770075,0.767635,0.765001,0.762203,0.759272,0.756239,0.753137,0.750001,0.746865,0.743764,0.740731,0.737799,0.735001,0.732368,0.729927,0.727707,0.725731,0.724021,0.722595,0.721470,0.720657,0.720166,0.720001,0.720166,0.720657,0.721470,0.722595,0.724021,0.725731,0.727707,0.729927,0.732368,0.735001,0.737799,0.740731,0.743764,0.746865,0.750001,0.753137,0.756239,0.759272,0.762203,0.765001,0.767635,0.770075,0.772296,0.774272,0.775982,0.777408,0.778533,0.779346,0.779837,0.780001
0.323404,0.780001,0.779836,0.779345,0.778532,0.777407,0.775981,0.774271,0.772295,0.770074,0.767634,0.765001,0.762203,0.759271,0.756238,0.753136,0.750001,0.746865,0.743763,0.740730,0.737798,0.735001,0.732367,0.729927,0.727706,0.725730,0.724020,0.722594,0.721469,0.720656,0.720165,0.720001,0.720165,0.720656,0.721469,0.722594,0.724020,0.725730,0.727706,0.729927,0.732367,0.735001,0.737798,0.740730,0.743763,0.746865,0.750001,0.753136,0.756238,0.759271,0.762203,0.765001,0.767634,0.770074,0.772295,0.774271,0.775981,0.777407,0.778532,0.779345,0.779836,0.780001
0.331064,0.780000,0.779836,0.779345,0.778532,0.777407,0.775981,0.774271,0.772295,0.770074,0.767634,0.765000,0.762202,0.759271,0.756238,0.753136,0.750000,0.746864,0.743763,0.740730,0.737798,0.735000,0.732367,0.729926,0.727706,0.725730,0.724019,0.722594,0.721469,0.720656,0.720165,0.720000,0.720165,0.720656,0.721469,0.722594,0.724019,0.725730,0.727706,0.729926,0.732367,0.735000,0.737798,0.740730,0.743763,0.746864,0.750000,0.753136,0.756238,0.759271,0.762202,0.765000,0.767634,0.770074,0.772295,0.774271,0.775981,0.777407,0.778532,0.779345,0.779836,0.780000
0.338723,0.780000,0.779836,0.779345,0.778532,0.777406,0.775981,0.774271,0.772294,0.770074,0.767634,0.765000,0.762202,0.759271,0.756237,0.753136,0.750000,0.746864,0.743763,0.740730,0.737798,0.735000,0.732367,0.729926,0.727706,0.725730,0.724019,0.722594,0.721468,0.720656,0.720164,0.720000,0.720164,0.720656,0.721468,0.722594,0.724019,0.725730,0.727706,0.729926,0.732367,0.735000,0.737798,0.740730,0.743763,0.746864,0.750000,0.753136,0.756237,0.759271,0.762202,0.765000,0.767634,0.770074,0.772294,0.774271,0.775981,0.777406,0.778532,0.779345,0.779836,0.780000
0.346383,0.780000,0.779836,0.779344,0.778532,0.777406,0.775981,0.774271,0.772294,0.770074,0.767634,0.765000,0.762202,0.759271,0.756237,0.753136,0.750000,0.746864,0.743763,0.740730,0.737798,0.735000,0.732366,0.729926,0.727706,0.725730,0.724019,0.722594,0.721468,0.720656,0.720164,0.720000,0.720164,0.720656,0.721468,0.722594,0.724019,0.725730,0.727706,0.729926,0.732366,0.735000,0.737798,0.740730,0.743763,0.746864,0.750000,0.753136,0.756237,0.759271,0.762202,0.765000,0.767634,0.770074,0.772294,0.774271,0.775981,0.777406,0.778532,0.779344,0.779836,0.780000
0.354043,0.780000,0.779836,0.779344,0.778532,0.777406,0.775981,0.774271,0.772294,0.770074,0.767634,0.765000,0.762202,0.759271,0.756237,0.753136,0.750000,0.746864,0.743763,0.740730,0.737798,0.735000,0.732366,0.729926,0.727706,0.725730,0.724019,0.722594,0.721468,0.720656,0.720164,0.720000,0.720164,0.720656,0.721468,0.722594,0.724019,0.725730,0.727706,0.729926,0.732366,0.735000,0.737798,0.740730,0.743763,0.746864,0.750000,0.753136,0.756237,0.759271,0.762202,0.765000,0.767634,0.770074,0.772294,0.774271,0.775981,0.777406,0.778532,0.779344,0.779836,0.780000
0.361702,0.780000,0.779836,0.779344,0.778532,0.777406,0.775981,0.774271,0.772294,0.770074,0.767634,0.765000,0.762202,0.759271,0.756237,0.753136,0.750000,0.746864,0.743763,0.740729,0.737798,0.735000,0.732366,0.729926,0.727706,0.725729,0.724019,0.722594,0.721468,0.720656,0.720164,0.720000,0.720164,0.720656,0.721468,0.722594,0.724019,0.725729,0.727706,0.729926,0.732366,0.735000,0.737798,0.740729,0.743763,0.746864,0.750000,0.753136,0.756237,0.759271,0.762202,0.765000,0.767634,0.770074,0.772294,0.774271,0.775981,0.777406,0.778532,0.779344,0.779836,0.780000
